Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Xing B., Gao W.-J.","36005006700;36239815000;","Computational intelligence in remanufacturing",2013,"Computational Intelligence in Remanufacturing",,,,"1","349",,6,"10.4018/978-1-4666-4908-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945416856&doi=10.4018%2f978-1-4666-4908-8&partnerID=40&md5=f1b4c8b6e5ef4b550124fe34976a8f4b","University of Pretoria, South Africa; Mei Yuan Mould Design and Manufacturing Co., Ltd, China","Xing, B., University of Pretoria, South Africa; Gao, W.-J., Mei Yuan Mould Design and Manufacturing Co., Ltd, China","In attempts to reduce greenhouse gas emissions, many alternatives to manufacturing have been recommended from a number of international organizations. Although challenges will arise, remanufacturing has the ability to transform ecological and business value. Computational Intelligence in Remanufacturing introduces various computational intelligence techniques that are applied to remanufacturing-related issues, results, and lessons from specific applications while highlighting future development and research. This book is an essential reference for students, researchers, and practitioners in mechanical, industrial, and electrical engineering. © 2014 by IGI Global. All rights reserved.",,"Gas emissions; Greenhouse gases; Business value; Computational intelligence techniques; International organizations; Artificial intelligence",Book,"Final","",Scopus,2-s2.0-84945416856
"Jacome-Grajales N., Escobedo-Briones G., Roblero J., Arroyo-Figueroa G.","55975424100;55976384600;55976409700;6602711590;","Application of business intelligence to the power system process security",2013,"2013 3rd International Conference on Innovative Computing Technology, INTECH 2013",,,"6653639","258","262",,2,"10.1109/INTECH.2013.6653639","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891116285&doi=10.1109%2fINTECH.2013.6653639&partnerID=40&md5=ccea4bc0e88cb728904775404678b987","Gerencia de Tecnologias de la Informacion, Instituto de Investigaciones Electricas, Cuernavaca, Mexico","Jacome-Grajales, N., Gerencia de Tecnologias de la Informacion, Instituto de Investigaciones Electricas, Cuernavaca, Mexico; Escobedo-Briones, G., Gerencia de Tecnologias de la Informacion, Instituto de Investigaciones Electricas, Cuernavaca, Mexico; Roblero, J., Gerencia de Tecnologias de la Informacion, Instituto de Investigaciones Electricas, Cuernavaca, Mexico; Arroyo-Figueroa, G., Gerencia de Tecnologias de la Informacion, Instituto de Investigaciones Electricas, Cuernavaca, Mexico","Nowadays, the companies have a growing need for timely and reliable information for operative and strategic decision-making. Companies have understood the importance of enforcing achievements of the goals defined by their business strategies through business intelligence concepts. This paper describes the design and development of business intelligence tools applied to industrial security. The goal is to have available and timely information to make better decisions, to reduce the number of accidents and incidents. The dashboards show a clear and simple way the main indicators of security process. Also, shows the relationship between indicators to determine which may be the attitude possible that caused the accident. The BI tool may be used in the future to other Electric Power Utility processes. © 2013 IEEE.","business intelligence; decision support systems; industrial security; information management; power system","Business strategy; Design and Development; Electric power utilities; industrial security; power system; Strategic decision making; System process; Artificial intelligence; Competitive intelligence; Decision support systems; Electric power systems; Industry; Information management; Security systems; Tools; Management science",Conference Paper,"Final","",Scopus,2-s2.0-84891116285
"Kitipong A., Rueangsirasak W., Chaisricharoen R.","55975991600;54791429000;23990149300;","Classification system for traditional textile: Case study of the batik",2013,"13th International Symposium on Communications and Information Technologies: Communication and Information Technology for New Life Style Beyond the Cloud, ISCIT 2013",,,"6645958","767","771",,5,"10.1109/ISCIT.2013.6645958","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891099735&doi=10.1109%2fISCIT.2013.6645958&partnerID=40&md5=51fb9fd28616aa932805d79b290c0af7","School of Information Technology, Mae Fah Luang University, Chiang Rai, Thailand","Kitipong, A., School of Information Technology, Mae Fah Luang University, Chiang Rai, Thailand; Rueangsirasak, W., School of Information Technology, Mae Fah Luang University, Chiang Rai, Thailand; Chaisricharoen, R., School of Information Technology, Mae Fah Luang University, Chiang Rai, Thailand","Batik is a best-seller art on textile in South-East Asia. Although, batik industry brings revenue to entrepreneur, lack of supporting from information system which is a tool for developing batik production, leads the business to loose in competition on AEC market. In this paper, Self-Organizing Maps is proposed as the decision support system to increase productivity by suggesting reasonable materials for upcoming product. The system is trained with the sets of data that composed with three factors to let the system learn to select the most suitable materials as solution of reasonable investment for entrepreneur according to their given price as input. © 2013 IEEE.","Batik; Clustering; Decision Support System; Self-Organizing Maps; Textile Industrial; Traditional Textile","Batik; Classification system; Clustering; Southeast Asia; Artificial intelligence; Communication; Competition; Conformal mapping; Decision support systems; Economics; Self organizing maps; Textiles; Information technology",Conference Paper,"Final","",Scopus,2-s2.0-84891099735
"Chinces D., Salomie I.","55842717700;15124243900;","Business process mining algorithms",2013,"Proceedings - 2013 IEEE 9th International Conference on Intelligent Computer Communication and Processing, ICCP 2013",,,"6646120","271","277",,3,"10.1109/ICCP.2013.6646120","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891081471&doi=10.1109%2fICCP.2013.6646120&partnerID=40&md5=18edb36cf854ac60236bda32ea86dd85","Technical University of Cluj-Napoca, Cluj-Napoca, Romania","Chinces, D., Technical University of Cluj-Napoca, Cluj-Napoca, Romania; Salomie, I., Technical University of Cluj-Napoca, Cluj-Napoca, Romania","This paper presents our work in developing three business process mining algorithms, followed by a comparison between GLS Miner, ILS Miner and ACO Miner. All of these algorithms have been proved as generating better solutions compared to the state of the art and can discover process models that correctly map to the event log. The algorithms and a comparison between them is presented in the current paper, as well as the mapping of each algorithm to the common business process structures. © 2013 IEEE.","ACO BP Miner; Ant Colony Optimization; BPMN; business process mining; event log; GLS Miner; Guided Local Search; ILS Miner; Iterative Local Search","BPMN; Business process minings; event log; Guided Local Search; Iterative local searches; Ant colony optimization; Artificial intelligence; Communication; Data mining; Iterative methods; Miners; Algorithms",Conference Paper,"Final","",Scopus,2-s2.0-84891081471
"Elasri H., Sekkaki A.","48360972900;6506848221;","Semantic integration process of business components through ontology alignment",2013,"Journal of Software","8","12",,"3016","3025",,,"10.4304/jsw.8.12.3016-3025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890963406&doi=10.4304%2fjsw.8.12.3016-3025&partnerID=40&md5=f2caf7462b57206b98564e836410e9a0","Departement of Mathematics and Computer Sciences, University Hassan II, Ain Chock, Morocco","Elasri, H., Departement of Mathematics and Computer Sciences, University Hassan II, Ain Chock, Morocco; Sekkaki, A., Departement of Mathematics and Computer Sciences, University Hassan II, Ain Chock, Morocco","Ontology Alignment (OA) identifies semantically matching of different entities, OA continues to attract great attention within the database, information system and artificial intelligence communities. OA used to solve the semantic heterogeneity and hide the complexity of retrieving entities of heterogeneous source. That's why we rely on the OA for resolving semantic conflict during design phase of information system, particularly in semantic integration of Business Components (BC). Our contribution concerns a solution for the integration of BC based on the ontologies alignment in order to support information system designers. © 2013 Academy Publisher.","Business components; Component; Enriching ontologies; Ontology alignment; Semantic integration","Business component; Component; Heterogeneous sources; Intelligence communities; Ontology alignment; Semantic conflict; Semantic heterogeneity; Semantic integration; Artificial intelligence; Information systems; Integration; Semantics",Article,"Final","",Scopus,2-s2.0-84890963406
"Phungtua-Eng T., Chittayasothorn S.","55961289900;6506527982;","Semi-automatic relational databases integration using ontology",2013,"WMSCI 2013 - 17th World Multi-Conference on Systemics, Cybernetics and Informatics, Proceedings","1",,,"203","208",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890096220&partnerID=40&md5=44e31947fc4361d214f5a69037ac73f7","Faculty of Engineering, King Mongkut's Institute of Technology Ladkrabang, Bangkok 10520, Thailand","Phungtua-Eng, T., Faculty of Engineering, King Mongkut's Institute of Technology Ladkrabang, Bangkok 10520, Thailand; Chittayasothorn, S., Faculty of Engineering, King Mongkut's Institute of Technology Ladkrabang, Bangkok 10520, Thailand","Database integration is an organization-level problem which has become more and more serious when correct and unified databases are required to support business intelligence and management decision making. In many organizations, information systems are developed independently. The database that supports the human resource management system, for example, is developed and implemented separately from the database that supports the main production system. Different naming conventions, data types, and values in such different databases make it hard to consider if the data items from different databases refer to the same real-world objects. The problems become worse in the case that databases have different data structures; different data models. Polyglot environments may be a solution for operational systems but may turn to be problems for decision support systems. This paper presents an approach to the database integration problem. Ontology is used as a central knowledge base where data items and relationships are identified and resolved. Since the database integration process must yield perfect or close to perfect result, any mismatches or errors are not acceptable and user involvements are required. Hence, a semi-automatic approach is adopted.","Database integration; Ontology; Relational database","Database integration; Human resource management systems; Management decision-making; Operational systems; Production system; Real-world objects; Relational Database; User involvement; Artificial intelligence; Decision making; Decision support systems; Human resource management; Information science; Knowledge based systems; Ontology; Database systems",Conference Paper,"Final","",Scopus,2-s2.0-84890096220
"Faria P., Soares T., Pinto T., Sousa T.M., Soares J., Vale Z., Morais H.","34976453800;48762149800;35219107600;56351991400;35436109600;57203219788;21834170800;","Dispatch of distributed energy resources to provide energy and reserve in smart grids using a particle swarm optimization approach",2013,"IEEE Symposium on Computational Intelligence Applications in Smart Grid, CIASG",,,"6611498","51","58",,5,"10.1109/CIASG.2013.6611498","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890055715&doi=10.1109%2fCIASG.2013.6611498&partnerID=40&md5=7ff479209cedaa61a20273fd1678e528","GECAD, Knowledge Engineering and Decision Support Research Center IPP, Polytechnic Institute of Porto Porto, Portugal","Faria, P., GECAD, Knowledge Engineering and Decision Support Research Center IPP, Polytechnic Institute of Porto Porto, Portugal; Soares, T., GECAD, Knowledge Engineering and Decision Support Research Center IPP, Polytechnic Institute of Porto Porto, Portugal; Pinto, T., GECAD, Knowledge Engineering and Decision Support Research Center IPP, Polytechnic Institute of Porto Porto, Portugal; Sousa, T.M., GECAD, Knowledge Engineering and Decision Support Research Center IPP, Polytechnic Institute of Porto Porto, Portugal; Soares, J., GECAD, Knowledge Engineering and Decision Support Research Center IPP, Polytechnic Institute of Porto Porto, Portugal; Vale, Z., GECAD, Knowledge Engineering and Decision Support Research Center IPP, Polytechnic Institute of Porto Porto, Portugal; Morais, H., GECAD, Knowledge Engineering and Decision Support Research Center IPP, Polytechnic Institute of Porto Porto, Portugal","The smart grid concept is a key issue in the future power systems, namely at the distribution level, with deep concerns in the operation and planning of these systems. Several advantages and benefits for both technical and economic operation of the power system and of the electricity markets are recognized. The increasing integration of demand response and distributed generation resources, all of them mostly with small scale distributed characteristics, leads to the need of aggregating entities such as Virtual Power Players. The operation business models become more complex in the context of smart grid operation. Computational intelligence methods can be used to give a suitable solution for the resources scheduling problem considering the time constraints. This paper proposes a methodology for a joint dispatch of demand response and distributed generation to provide energy and reserve by a virtual power player that operates a distribution network. The optimal schedule minimizes the operation costs and it is obtained using a particle swarm optimization approach, which is compared with a deterministic approach used as reference methodology. The proposed method is applied to a 33-bus distribution network with 32 medium voltage consumers and 66 distributed generation units. © 2013 IEEE.","Demand response; distribution network; Network simulation; particle swarm optimization; virtual power player","Computational intelligence methods; Demand response; Distributed characteristics; Distributed Energy Resources; Distributed generation resources; Distributed generation units; Network simulation; Virtual power players; Artificial intelligence; Complex networks; Computer simulation; Distributed power generation; Electric power distribution; Energy resources; Particle swarm optimization (PSO); Smart power grids",Conference Paper,"Final","",Scopus,2-s2.0-84890055715
"Murtaza M., Shah J.H., Azeem A., Nisar W., Masood M.","55337480800;55337133500;56151116100;14038148600;55927121800;","Structured language requirement elicitation using case base reasoning",2013,"Research Journal of Applied Sciences, Engineering and Technology","6","23",,"4393","4398",,3,"10.19026/rjaset.6.3442","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887521366&doi=10.19026%2frjaset.6.3442&partnerID=40&md5=1ac1ff1a50131bf4903e7e1ac7d6396f","COMSATS Institute of Information Technology, Wah Cantt, Pakistan","Murtaza, M., COMSATS Institute of Information Technology, Wah Cantt, Pakistan; Shah, J.H., COMSATS Institute of Information Technology, Wah Cantt, Pakistan; Azeem, A., COMSATS Institute of Information Technology, Wah Cantt, Pakistan; Nisar, W., COMSATS Institute of Information Technology, Wah Cantt, Pakistan; Masood, M., COMSATS Institute of Information Technology, Wah Cantt, Pakistan","Requirement elicitation is very difficult process in highly challenging and business based software as well as in real time software. Common problems associated with these types of software are rapidly changing the requirements and understanding the language of the layman person. In this study, a framework for requirement elicitation by using knowledge based system is proposed, which is very helpful for knowledge documentation, intelligent decision support, self-learning and more specifically it is very helpful for case based reasoning and explanation. Basically in this method requirements are gathered from Artificial Intelligence (AI) expert system from various sources e.g., via interviews, scenarios or use cases. Then, these are converted into structured natural language using ontology and this new problem/case is put forward to Case Based Reasoning (CBR). CBR based on its previous information having similar requirements combines with new case and suggests a proposed solution. Based on this solution a prototype is developed and delivered to customer. The use of case-based reasoning in requirements elicitation process has greatly reduced the burden and saved time of requirement analyst and results in an effective solution for handling complex or vague requirements during the elicitation process. © Maxwell Scientific Organization, 2013.","Case Base Reasoning (CBR); Expert systems; Ontology; Requirement analyst; Requirements elicitation",,Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-84887521366
"Armando A., Giunchiglia E., Maratea M., Ponta S.E.","57190072464;7003735028;6506907934;35111618100;","Modeling and reasoning about business processes under authorization constraints: A planning-based approach",2013,"ICAPS 2013 - Proceedings of the 23rd International Conference on Automated Planning and Scheduling",,,,"468","469",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889834385&partnerID=40&md5=dc962def770f01eca38440e0461e763a","Security and Trust Unit, DIBRIS FBK, UNIGE, Trento, Italy; DIBRIS, University of Genova, Viale F. Causa 15, Genova, Italy; SAP Research Sophia-Antipolis, Mougins, France","Armando, A., Security and Trust Unit, DIBRIS FBK, UNIGE, Trento, Italy; Giunchiglia, E., DIBRIS, University of Genova, Viale F. Causa 15, Genova, Italy; Maratea, M., DIBRIS, University of Genova, Viale F. Causa 15, Genova, Italy; Ponta, S.E., SAP Research Sophia-Antipolis, Mougins, France","Business processes under authorization control are sets of coordinated activities subject to a security policy stating which agent can access which resource. Their behavior is difficult to predict due to the complex and unexpected interleaving of different execution flows within the process. Therefore, serious flaws may go undetected and manifest themselves only after deployment. This problem may be tackled by applying formal methods to reason about business process models. In this paper we outline the main contributions in this application domain of (Armando et al. 2012), that uses the action-based planning language C and the Causal Calculator tool CCALC. C is used to specify a business process from the banking domain that is representative of an important class of business processes of practical relevance, and proved to be a rich and natural formal specification language in this domain. CCALC is then used to automatically solve three reasoning tasks that arise in this context. We also compare C with the SMV specification language used in model-checking: the comparison highlights some key advantages of C in the business process domain. Copyright © 2013, Association for the Advancement of Artificial Intelligence. All rights reserved.",,"Authorization constraints; Authorization controls; Business Process; Business process model; Coordinated activity; Formal specification language; Planning languages; Reasoning tasks; Model checking; Specification languages; C (programming language)",Conference Paper,"Final","",Scopus,2-s2.0-84889834385
"Lee L., Parameswaran N.","55957619500;7003384825;","Intelligent shopping using migrating agents",2013,"FLAIRS 2013 - Proceedings of the 26th International Florida Artificial Intelligence Research Society Conference",,,,"180","183",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889815017&partnerID=40&md5=a8d49b01a07af43e7485b155262d4026","University of New South Wales, Sydney, NSW, Australia","Lee, L., University of New South Wales, Sydney, NSW, Australia; Parameswaran, N., University of New South Wales, Sydney, NSW, Australia","An automated shopping framework which employs migrating agents as a means to implement today's practices of online shopping is introduced. The system encompasses a new business market architecture which provides support for retailer agents and migrating shopper agents, with agent communication adhering to IEEE-FIPA specifications. The proposed system focuses on shopping input and protocols for the migrating shopper agent. Our experience shows that highly communicative migrating agents save more time in shopping on a large scale. However, migrating agents are susceptible to background noises that add load to the system. Copyright © 2013, Association for the Advancement of Artificial Intelligence. All rights reserved.",,"Agent communications; Background noise; Business market; Migrating agents; Online shopping; System focus; Artificial intelligence; Electronic commerce",Conference Paper,"Final","",Scopus,2-s2.0-84889815017
