Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Dandachi G., Cerf S., Hadjadj-Aoul Y., Outtagarts A., Rutten E.","56705485700;57192995977;55663651600;55416314300;56276265500;","A robust control-theory-based exploration strategy in deep reinforcement learning for virtual network embedding",2022,"Computer Networks","218",,"109366","","",,,"10.1016/j.comnet.2022.109366","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138489176&doi=10.1016%2fj.comnet.2022.109366&partnerID=40&md5=b15f80fd8a4d970232db2fdc47528390","INRIA, Univ Rennes, CNRS, IRISA, Rennes, France; Univ. Lille, Inria, CNRS, Centrale Lille, UMR 9189 CRIStAL, Lille, France; Nokia-Bell Labs, France; Univ. Grenoble Alpes, Inria, CNRS, Grenoble INP, LIG, Grenoble, France","Dandachi, G., INRIA, Univ Rennes, CNRS, IRISA, Rennes, France; Cerf, S., Univ. Lille, Inria, CNRS, Centrale Lille, UMR 9189 CRIStAL, Lille, France; Hadjadj-Aoul, Y., INRIA, Univ Rennes, CNRS, IRISA, Rennes, France; Outtagarts, A., Nokia-Bell Labs, France; Rutten, E., Univ. Grenoble Alpes, Inria, CNRS, Grenoble INP, LIG, Grenoble, France","Network slice management and, more generally, resource orchestration should be fully automated in 6G networks, as envisioned by the ETSI ENI. In this context, artificial intelligence (AI) and context-aware policies are certainly major options to move in this direction and to adapt service delivery to changing user needs, environmental conditions and business objectives. In this paper, we step towards this objective by addressing the problem of optimal placement of dynamic virtual networks through a self-adaptive learning-based strategy. These constantly evolving networks present, however, several challenges, mainly due to their stochastic nature, and the high dimensionality of the state and the action spaces. This curse of dimensionality requires, indeed, a broader exploration, which is not always compatible with a real-time execution in an operational network. Thus, we propose DQMC, a new strategy for virtual network embedding in mobile networks combining a Deep Reinforcement Learning (DRL) strategy, namely a Deep Q-Network (DQN), and Monte Carlo (MC). As learning is costly in time and computing resources, and sensitive to changes in the network, we suggest a control-theory-based techniques to dynamically leverage exploration in DQMC. This leads to fast, efficient, and sober learning compared to a Monte Carlo-based strategy. This also ensures a reliable solution even in the case of a change in the requests’ sizes or a node's failure, showing promising perspectives for solutions combining control-theory and machine learning. © 2022 Elsevier B.V.","5G slicing; Control theory; Deep reinforcement learning; Monte Carlo; Virtual network embedding","5G mobile communication systems; Computation theory; Deep learning; E-learning; Monte Carlo methods; Network embeddings; Robust control; Stochastic systems; 5g slicing; Context-aware policies; Deep reinforcement learning; Exploration strategies; Fully automated; Monte carlo; Reinforcement learnings; Robust control theory; Service delivery; Virtual network embedding; Reinforcement learning",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85138489176
"Alshadoodee H.A.A., Mansoor M.S.G., Kuba H.K., Gheni H.M.","57211239907;57204473203;57217210777;57210428348;","The role of artificial intelligence in enhancing administrative decision support systems by depend on knowledge management",2022,"Bulletin of Electrical Engineering and Informatics","11","6",,"3577","3589",,,"10.11591/eei.v11i6.4243","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139102956&doi=10.11591%2feei.v11i6.4243&partnerID=40&md5=c423a8000ed1ead4adc3236fd2da7042","Department of Geography, Faculty of Arts, University of Kufa, Iraq; Department of Mobile Communications and Computing Engineering, College of Engineering, University of Information Technology and Communications (UOITC), Baghdad, Iraq; Department of Bioinformatics, Biomedical Informatics College, University of Information Technology and Communications (UOITC), Baghdad, Iraq; Department of Computer Techniques Engineering, Al-Mustaqbal University College, Hillah, Iraq","Alshadoodee, H.A.A., Department of Geography, Faculty of Arts, University of Kufa, Iraq; Mansoor, M.S.G., Department of Mobile Communications and Computing Engineering, College of Engineering, University of Information Technology and Communications (UOITC), Baghdad, Iraq; Kuba, H.K., Department of Bioinformatics, Biomedical Informatics College, University of Information Technology and Communications (UOITC), Baghdad, Iraq; Gheni, H.M., Department of Computer Techniques Engineering, Al-Mustaqbal University College, Hillah, Iraq","This study illustrates the role of artificial intelligence in enhancing administrative decision support systems by depend on knowledge management. As per new technologies are evolving and the workflow need more concious approach of implementation, thus the role of artificial intelligence is evolved in support to decision making. The study takes privates college administration as a varible on which the results rely. The upgrades in innovation have upgraded most techniques for leading business tasks that further develop organizations and administration conveyance. Companies in this area need to wander into digitizing of all industry cycles, business sequences linked to administration and more essential services in educational institutes over time. The need for a proper decision-making support using knowledge management stills create a big gap in the foundation of an effective and efficient eductaional system for the good governance and to improve the image of some institute. The examination interaction has been intended to follow an iterative methodology of information revelation chose for the review. Using the statistical package for social sciences (IBM-SPSS) version 23 logic instrument, the illustrative research was completed with insights into the segment profile of the respondents. Hayes' process macro v3.3 with SPSS was used to analyze the interceding effect. © 2022, Institute of Advanced Engineering and Science. All rights reserved.","Artificial intelligence; Business intelligence; Decision support systems; Educational institutes; Employee effectiveness; Knowledge management; Organizational performance",,Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85139102956
"Krishnamoorthy M., Karthikeyan R.","7005169813;57211159213;","Pattern mining algorithms for data streams using itemset",2022,"Measurement: Sensors","24",,"100421","","",,,"10.1016/j.measen.2022.100421","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139035002&doi=10.1016%2fj.measen.2022.100421&partnerID=40&md5=e9b2a30d0e23b4de98784b1c94afec48","Department of Computer Science and Engineering, Bharath Institute of Higher Education and Research, Tamil Nadu, Chennai, India","Krishnamoorthy, M., Department of Computer Science and Engineering, Bharath Institute of Higher Education and Research, Tamil Nadu, Chennai, India; Karthikeyan, R., Department of Computer Science and Engineering, Bharath Institute of Higher Education and Research, Tamil Nadu, Chennai, India","Knowledge discovery and data mining are fast growing fields of study that span a variety of disciplines, including distributed systems, databases, artificial intelligence, visualization, statistics, high-performance computing, and parallel computing. Raw data is collected by people in business, science, medicine, academia, and government, and there are various commercial programmes that process the data to provide general and specific purpose knowledge discovery. “Turn Data into Knowledge” is an important goal in knowledge discovery and data mining. Data mining is the process of examining data previously stored in databases in order to solve problems. The technique of detecting patterns in vast data repositories is known as data mining. In order to complete a data mining task, effective exploratory strategies are always required. Association rules, correlations, sequential patterns, classification, clustering, and other data mining techniques are only a few examples. Every technique has its own value, which is determined by the application area and challenges for which it is used. The objectives of this study, as stated in the synopsis, are met using association rule mining methodology. The original motivation for association rules mining was the problem of supermarket transaction data. The problem with supermarket transaction data is that it is used to investigate client purchasing habits. The frequency with which things have been purchased together is described by association rules. For instance, the association rule “cool drink=> chips (80%)"" implies that 80% of customers who purchase cool drink also purchase chips. Such criteria can be beneficial in making judgments about store layout, product pricing, and marketing, among other things. © 2022 The Authors","Data mining; Datasets; Machine learning algorithms; Pattern mining",,Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85139035002
"Gupta S., Modgil S., Kumar A., Sivarajah U., Irani Z.","55851943244;55314774400;57221973593;56202054300;7003623363;","Artificial intelligence and cloud-based Collaborative Platforms for Managing Disaster, extreme weather and emergency operations",2022,"International Journal of Production Economics","254",,"108642","","",,,"10.1016/j.ijpe.2022.108642","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138481195&doi=10.1016%2fj.ijpe.2022.108642&partnerID=40&md5=d6d6b1d2367d8992091868fd82f27a13","Department of Information Systems, Supply Chain Management & Decision Support, NEOMA Business School, 59 Rue Pierre Taittinger, Reims, 51100, France; International Management Institute Kolkata, 2/4 C, Judges Ct Rd, Alipore, West Bengal, Kolkata, 700027, India; AIM Research Centre on Artificial Intelligence in Value Creation, EMLYON Business School, 23 Avenue Guy de Collongue, Ecully, 69130, France; School of Management, University of Bradford, Richmond Road, Bradford, BD7 1DP, United Kingdom","Gupta, S., Department of Information Systems, Supply Chain Management & Decision Support, NEOMA Business School, 59 Rue Pierre Taittinger, Reims, 51100, France; Modgil, S., International Management Institute Kolkata, 2/4 C, Judges Ct Rd, Alipore, West Bengal, Kolkata, 700027, India; Kumar, A., AIM Research Centre on Artificial Intelligence in Value Creation, EMLYON Business School, 23 Avenue Guy de Collongue, Ecully, 69130, France; Sivarajah, U., School of Management, University of Bradford, Richmond Road, Bradford, BD7 1DP, United Kingdom; Irani, Z., School of Management, University of Bradford, Richmond Road, Bradford, BD7 1DP, United Kingdom","Natural disasters are often unpredictable and therefore there is a need for quick and effective response to save lives and infrastructure. Hence, this study is aimed at achieving timely, anticipated and effective response throughout the cycle of a disaster, extreme weather and emergency operations management with the help of advanced technologies. This study proposes a novel, evidence-based framework (4-AIDE) that highlights the role of artificial intelligence (AI) and cloud-based collaborative platforms in disaster, extreme weather and emergency situations. A qualitative approach underpinned by organizational information processing theory (OIPT) is employed to design, develop and conduct semi-structured interviews with 33 respondents having experience in AI and cloud computing industries during emergency and extreme weather situations. For analysing the collected data, axial, open and selective coding is used that further develop themes, propositions and an evidence-based framework. The study findings indicate that AI and cloud-based collaborative platforms offer a structured and logical approach to enable two-way, algorithm-based communication to collect, analyse and design effective management strategies for disaster and extreme weather situations. Managers of public systems or businesses can collect and analyse data to predict possible outcomes and take necessary actions in an extreme weather situation. Communities and societies can be more resilient by transmitting and receiving data to AI and cloud-based collaborative platforms. These actions can also help policymakers identify critical pockets and guide administration for their necessary preparation for unexpected, extreme weather, and emergency events. © 2022 The Authors","Artificial intelligence; Cloud technologies; Disaster management; Extreme weather; Organizational information processing theory","Computation theory; Disaster prevention; Emergency services; Cloud based collaborative; Cloud technologies; Collaborative platform; Disaster management; Emergency operations; Extreme weather; Information processing theories; Organizational information processing; Organizational information processing theory; Weather operations; Artificial intelligence",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85138481195
"Ancín M., Pindado E., Sánchez M.","55584305100;57074832900;57194845281;","New trends in the global digital transformation process of the agri-food sector: An exploratory study based on Twitter",2022,"Agricultural Systems","203",,"103520","","",,,"10.1016/j.agsy.2022.103520","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138371040&doi=10.1016%2fj.agsy.2022.103520&partnerID=40&md5=8ca06a31a9fe47c4fb09981f2a0b01fb","Department of Business Management and Institute on Innovation and Sustainable Development in Food Chain - (ISFOOD), Public University of Navarre, Pamplona, Spain; Department of Agricultural Economics, Statistic and Business Management, ETSIAAB, Technical University of Madrid, Madrid, Spain","Ancín, M., Department of Business Management and Institute on Innovation and Sustainable Development in Food Chain - (ISFOOD), Public University of Navarre, Pamplona, Spain; Pindado, E., Department of Agricultural Economics, Statistic and Business Management, ETSIAAB, Technical University of Madrid, Madrid, Spain; Sánchez, M., Department of Business Management and Institute on Innovation and Sustainable Development in Food Chain - (ISFOOD), Public University of Navarre, Pamplona, Spain","CONTEXT: The agri-food system is undergoing pervasive changes in business models, facilitated by the use of digital technologies. Although today it is almost inevitable for any business to adopt some level of digital transformation to strengthen their competitiveness, this transition in the agri-food sector could be more complex, given its characteristics. OBJECTIVE: The aim of the study is to analyse worldwide the perceptions of new digital technologies in the agri-food sector expressed within social media platforms, identifying the differences that may exist between them regarding its objectives and social acceptance. METHODS: This paper examines the information regarding digital transformation process in the agri-food sector disseminated worldwide on Twitter. For that purpose, Twitter API is used to gather tweets and descriptive and content analyses, including a sentiment analysis, are performed using R and MAXQDA software. RESULTS AND CONCLUSIONS: We found that the digitalization of the agri-food sector is broadly discussed within Twitter. Different actors participate in these information flows, being companies and digital solution providers the most active users and academics and governmental institutions the most visible. Artificial Intelligence was the most mentioned technology, that together with the Internet of Things, Big Data, Machine Learning, and Cloud Computing, was related to improving production efficiencies, crop yield, or cost reduction. In the case of Blockchain Technology, it was closer to food supply chain actors, such as distribution companies and marketers. However, all these technologies are connected to the concept of sustainability. The sentiment analysis showed a generally positive tone, indicating social acceptance regarding the starting phase of the adoption of these technologies. The study also identified differences among countries, pointing to a stronger level of engagement with these technologies in developed regions. Moreover, the COVID-19 pandemic was seen as a chance to boost the digital transformation in the sector all over the world. SIGNIFICANCE: Our results demonstrate that data harvested from Twitter provide useful insight into perceptions of digital transformation and different digital technologies in the agri-food value chain across different countries. Information that could be useful for researchers, but also for agricultural firms and policymakers. © 2022 The Authors","Agri-food sector; Agriculture 4.0; Data mining; Digital transformation; Twitter","agricultural technology; business development; COVID-19; data mining; exploration; food supply; Internet; social media; software; trend analysis",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85138371040
"İçen M.","57866064600;","The future of education utilizing artificial intelligence in Turkey",2022,"Humanities and Social Sciences Communications","9","1","268","","",,,"10.1057/s41599-022-01284-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136966113&doi=10.1057%2fs41599-022-01284-4&partnerID=40&md5=1a091a801b1716b40f7c72c2738c0b08","Yildiz Technical University, Istanbul, Turkey","İçen, M., Yildiz Technical University, Istanbul, Turkey","This study examined the potential effects of artificial intelligence on Turkish education. A qualitative research approach was employed by posing an open-ended question to academics in order to attain this objective thanks to built-in capabilities for conducting complicated computer operations, cloud-based services, and conciliatory accession for agile network connections. This study emphasizes that Turkey is highly fragmented and consists of various business organizations at both the municipal and regional levels. The two main policy documents produced by the Turkish government suggest that colleges play a strong role in national and regional Artificial Intelligence (AI) strategies for workforce growth, with substantial consequences for AI adoption strategies. These documents include information on three well-known educational entities: The new oriental workgroups, recurrent neural networks, and classroom clustering. Significant aspects of Turkey’s educational AI growth include a strong private education industry and a growing international interest. The investigation results revealed a decline in the level of understanding regarding the methods of using artificial intelligence, indicating the necessity for additional awareness-raising in Turkey. © 2022, The Author(s).",,,Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85136966113
"Tseng H.-Y., Chen C.-L., Lin Y.-C., Chuang M.-C., Hsu W.-H., Hsiao W.-Y., Chen T.-M., Wang M.-T., Huang W.-C., Chen C.-Y., Wu B.-R., Tu C.-Y., Liang S.-J., Chen W.-C.","57218384644;57241961700;37023438000;57849072400;35310607600;57117358700;57850261000;57850261100;57216716122;56162257700;55326118600;7402578835;22958440000;57191612007;","Using real-time visualization system for data-driven decision support to achieve lung protective strategy: a retrospective observational study",2022,"Critical Care","26","1","253","","",,,"10.1186/s13054-022-04091-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136231866&doi=10.1186%2fs13054-022-04091-0&partnerID=40&md5=98368f7561af76de4f8b46aa821ddd99","Division of Pulmonary and Critical Care, Department of Internal Medicine, China Medical University Hospital, No. 2, Yude Road, North District, Taichung, 40402, Taiwan; Department of Internal Medicine, China Medical University Hospital, Taichung, Taiwan; Graduate Institute of Biomedical Sciences and School of Medicine, College of Medicine, China Medical University, Taichung, Taiwan; Critical Medical Center, China Medical University Hospital, Taichung, Taiwan; Department of Respiratory Therapy, China Medical University Hospital, Taichung, Taiwan; Nursing Department, China Medical University Hospital, Taichung, Taiwan; School of Medicine, China Medical University, Taichung, Taiwan; Department of Education, China Medical University Hospital, Taichung, Taiwan","Tseng, H.-Y., Division of Pulmonary and Critical Care, Department of Internal Medicine, China Medical University Hospital, No. 2, Yude Road, North District, Taichung, 40402, Taiwan; Chen, C.-L., Division of Pulmonary and Critical Care, Department of Internal Medicine, China Medical University Hospital, No. 2, Yude Road, North District, Taichung, 40402, Taiwan; Lin, Y.-C., Division of Pulmonary and Critical Care, Department of Internal Medicine, China Medical University Hospital, No. 2, Yude Road, North District, Taichung, 40402, Taiwan; Chuang, M.-C., Department of Internal Medicine, China Medical University Hospital, Taichung, Taiwan; Hsu, W.-H., Division of Pulmonary and Critical Care, Department of Internal Medicine, China Medical University Hospital, No. 2, Yude Road, North District, Taichung, 40402, Taiwan, Graduate Institute of Biomedical Sciences and School of Medicine, College of Medicine, China Medical University, Taichung, Taiwan, Critical Medical Center, China Medical University Hospital, Taichung, Taiwan; Hsiao, W.-Y., Department of Respiratory Therapy, China Medical University Hospital, Taichung, Taiwan; Chen, T.-M., Nursing Department, China Medical University Hospital, Taichung, Taiwan; Wang, M.-T., Department of Respiratory Therapy, China Medical University Hospital, Taichung, Taiwan; Huang, W.-C., Division of Pulmonary and Critical Care, Department of Internal Medicine, China Medical University Hospital, No. 2, Yude Road, North District, Taichung, 40402, Taiwan; Chen, C.-Y., Division of Pulmonary and Critical Care, Department of Internal Medicine, China Medical University Hospital, No. 2, Yude Road, North District, Taichung, 40402, Taiwan; Wu, B.-R., Division of Pulmonary and Critical Care, Department of Internal Medicine, China Medical University Hospital, No. 2, Yude Road, North District, Taichung, 40402, Taiwan; Tu, C.-Y., Division of Pulmonary and Critical Care, Department of Internal Medicine, China Medical University Hospital, No. 2, Yude Road, North District, Taichung, 40402, Taiwan, School of Medicine, China Medical University, Taichung, Taiwan; Liang, S.-J., Division of Pulmonary and Critical Care, Department of Internal Medicine, China Medical University Hospital, No. 2, Yude Road, North District, Taichung, 40402, Taiwan; Chen, W.-C., Division of Pulmonary and Critical Care, Department of Internal Medicine, China Medical University Hospital, No. 2, Yude Road, North District, Taichung, 40402, Taiwan, Graduate Institute of Biomedical Sciences and School of Medicine, College of Medicine, China Medical University, Taichung, Taiwan, Department of Education, China Medical University Hospital, Taichung, Taiwan","Background: Although lung protective strategy and adjunctive intervention are associated with improved survival in patients with acute respiratory distress syndrome (ARDS), the implementation of effective therapies remains low. This study aimed to evaluate whether the use of business intelligence (BI) for real-time data visualization is associated with an improvement in lung protective strategy and adjunctive therapy. Methods: A retrospective observational cohort study was conducted on patients with ARDS admitted between September 2020 and June 2021 at two intensive care units (ICUs) of a tertiary referral hospital in Taiwan. BI was imported for data visualization and integration to assist in clinical decision in one of the ICUs. The primary outcomes were the implementation of low tidal volume ventilation (defined as tidal volume/predicted body weight ≤ 8 mL/kg) within 24 h from ARDS onset. The secondary outcomes included ICU and hospital mortality rates. Results: Among the 1201 patients admitted to the ICUs during the study period, 148 (12.3%) fulfilled the ARDS criteria, with 86 patients in the BI-assisted group and 62 patients in the standard-of-care (SOC) group. Disease severity was similar between the two groups. The application of low tidal volume ventilation strategy was significantly improved in the BI-assisted group compared with that in the SOC group (79.1% vs. 61.3%, p = 0.018). Despite their ARDS and disease severity, the BI-assisted group tended to achieve low tidal volume ventilation. The ICU and hospital mortality were lower in the BI-assisted group. Conclusions: The use of real-time visualization system for data-driven decision support was associated with significantly improved compliance to low tidal volume ventilation strategy, which enhanced the outcomes of patients with ARDS in the ICU. © 2022, The Author(s).","Acute respiratory distress syndrome; Business intelligence; Data-driven decision support; Intensive care unit; Lung protective strategy; Real-time visualization","adult respiratory distress syndrome; aged; Article; body weight; clinical decision making; cohort analysis; data visualization; decision support system; disease severity; evaluation study; female; hospital admission; hospital mortality; human; intelligence; intensive care unit; lung ventilation; major clinical study; male; mortality rate; observational study; patient care; prediction; retrospective study; Taiwan; tertiary care center; tidal volume; adverse event; artificial ventilation; lung; respiratory distress syndrome; Humans; Intensive Care Units; Lung; Respiration, Artificial; Respiratory Distress Syndrome; Retrospective Studies; Tidal Volume",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85136231866
"Asikainen T., Männistö T.","57519080500;6601957357;","Undulate: A framework for data-driven software engineering enabling soft computing",2022,"Information and Software Technology","152",,"107039","","",,,"10.1016/j.infsof.2022.107039","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136061253&doi=10.1016%2fj.infsof.2022.107039&partnerID=40&md5=10403bfea5cc34def75d274bc0a5067f","University of Helsinki, Department of Computer Science, Finland","Asikainen, T., University of Helsinki, Department of Computer Science, Finland; Männistö, T., University of Helsinki, Department of Computer Science, Finland","Context.: Especially web-facing software systems enable the collection of usage data at a massive scale. At the same time, the scale and scope of software processes have grown substantively. Automated tools are needed to increase the speed and quality of controlling software processes. The usage data has great potential as a driver for software processes. However, research still lacks constructs for collecting, refining and utilising usage data in controlling software processes. Objective.: The objective of this paper is to introduce a framework for data-driven software engineering. The UNDULATE framework covers generating, collecting and utilising usage data from software processes and business processes supported by the software produced. In addition, we define the concepts and process of extreme continuous experimentation as an exemplar of a software engineering process. Method.: We derive requirements for the framework from the research literature, with a focus on papers inspired by practical problems. In addition, we apply a multilevel modelling language to describe the concepts related to extreme continuous experimentation. Results.: We introduce the UNDULATE framework and give requirements and provide an overview of the processes of collecting usage data, augmenting it with additional dimensional data, aggregating the data along the dimensions and computing different metrics based on the data and other metrics. Conclusions.: The paper represents significant steps inspired by previous research and practical insight towards standardised processes for data-driven software engineering, enabling the application of soft computing and other methods based on artificial intelligence. © 2022 The Author(s)","Continuous experimentation; Data-driven software engineering; Dimensional database; Multilevel modelling; Soft computing","Application programs; Data acquisition; Modeling languages; Process control; Continuous experimentation; Data driven; Data-driven software engineering; Dimensional database; Multilevel modeling; Scale and scope; Soft-Computing; Software process; Software-systems; Usage data; Soft computing",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85136061253
"Ren X., Jiang Q., Jiang J., He Z., Ouyang B., Peng B.","57575155400;57576645000;57576433300;57575787900;57575999000;57576645100;","Evaluation of cabin energy consumption based on combination weighting and grey fuzzy comprehensive model",2022,"Eurasip Journal on Advances in Signal Processing","2022","1","36","","",,2,"10.1186/s13634-022-00858-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128193457&doi=10.1186%2fs13634-022-00858-3&partnerID=40&md5=8aa237e6511ad4589ec278610ffe37eb","You Lian Dockyards (Shekou) Co., Ltd., Shenzhen, 518067, China; Hunan University of Technology and Business, Changsha, 410205, China; Shenzhen Institute of Information Technology, Shenzhen, 518172, China","Ren, X., You Lian Dockyards (Shekou) Co., Ltd., Shenzhen, 518067, China; Jiang, Q., You Lian Dockyards (Shekou) Co., Ltd., Shenzhen, 518067, China; Jiang, J., You Lian Dockyards (Shekou) Co., Ltd., Shenzhen, 518067, China; He, Z., Hunan University of Technology and Business, Changsha, 410205, China; Ouyang, B., Hunan University of Technology and Business, Changsha, 410205, China; Peng, B., Shenzhen Institute of Information Technology, Shenzhen, 518172, China","Painting is the largest energy consumption unit in ship repair enterprises, with annual electrical energy costs amounting to millions of dollars. The energy-saving model of painting business based on artificial intelligence, Internet of Vehicles (IoV) and big data technologies has become a current research hot spot. This paper takes a cargo ship of Youlian Shipyard as an example to improve the quality of special coating construction, reduce cost and increase efficiency. In the process of special coating construction, a comprehensive analysis of equipment usage in different compartments is carried out, and a compartment energy consumption analysis model based on combined weighting and Gray Fuzzy Comprehensive Evaluation is proposed. The model uses factors such as energy consumption, hours, and number of devices as evaluation indicators. Based on the fuzzy comprehensive evaluation, the gray correlation coefficients and comprehensive weights were weighted to obtain the final comprehensive evaluation results of each planning scheme, and then compare them to determine the optimal scheme. The results show that the grey fuzzy comprehensive evaluation model with combined weighting has better results than other models, and the evaluation results are scientific and reasonable. It has certain application value in multi-objective scheme optimization. © 2022, The Author(s).","Cabin energy consumption; Combined weigh; Fuzzy comprehension evaluation method; Special painting","Coatings; Construction equipment; Energy conservation; Fuzzy set theory; Ships; Cabin energy consumption; Combination weighting; Combined weigh; Combined weighting; Energy-consumption; Evaluation methods; Evaluation results; Fuzzy comprehension evaluation method; Grey fuzzy comprehensive evaluation; Special painting; Energy utilization",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85128193457
"Chaves-Maza M., Fedriani E.M.","56337301300;6507521869;","Defining entrepreneurial success to improve guidance services: a study with a comprehensive database from Andalusia",2022,"Journal of Innovation and Entrepreneurship","11","1","22","","",,,"10.1186/s13731-022-00213-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125490907&doi=10.1186%2fs13731-022-00213-8&partnerID=40&md5=078d68493794c4ab8df35e3df8d8beda","Universidad Pablo de Olavide, Ctra. de Utrera, km 1, Sevilla, 41013, Spain","Chaves-Maza, M., Universidad Pablo de Olavide, Ctra. de Utrera, km 1, Sevilla, 41013, Spain; Fedriani, E.M., Universidad Pablo de Olavide, Ctra. de Utrera, km 1, Sevilla, 41013, Spain","The aim of this paper is to assess the level of success achieved by entrepreneurs. The concept of success has many subjective facets, and it needs to be evaluated to reach other higher objectives, such as improving support systems for entrepreneurs. The usual pre-existing focuses for the evaluation of business performance are analysed and adapted. Based on a real case, the most relevant variables for detecting success are studied and an algorithmic process (based on decision trees) is established to ascertain whether an entrepreneur has achieved success. The data refers to entrepreneurs from Andalusia, the European region with the highest unemployment rates and where support for entrepreneurship is on the agenda of all political parties. The model specifies a minimal set of variables to evaluate success in each case. Subsequently, a simple set of 29 questions is also offered, serving to classify most entrepreneurs (over 98% of 2221 individuals in the case analysed) by their level of success. An objective procedure to measure the success of entrepreneurs is given. Such method is based on artificial intelligence and on three focuses: positioning, expectations and evolution. Both the variables used in this case and the 29 questions necessary to classify the entrepreneurs by their level of success are explicitly provided. © 2022, The Author(s).","Achievement; Assessment; Classification; Decision trees; Entrepreneurship",,Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85125490907
